,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
178,162.749444030204,160.92819935021276,160.72607068782284,160.0538033588111,157.63974354532016,159.5969098297904,158.0014941702036,155.92338309121672
179,163.18984902952653,161.34557943510956,161.16228786068478,160.4169012013258,158.0681169973453,159.95242375808328,158.4367674654453,156.21847640163378
180,163.62773874212638,161.76215151654563,161.5964655762454,160.7799957609123,158.49515241859922,160.3079497202283,158.87076086104616,156.5138304193418
181,164.06310319819312,162.1778964817622,162.028589431954,161.14307161274135,158.92083020381506,160.66347279255513,159.30345409019026,156.80943417469672
182,164.49593315413685,162.5927956685679,162.45864568674833,161.50611358648231,159.34513133321687,161.01897829740034,159.73482746253435,157.10527685415335
183,164.92622007491892,163.00683085805937,162.88662124708856,161.86910676282116,159.76803736211718,161.37445179972573,160.16486185419546,157.4013477982681
184,165.35395611670478,163.41998426744348,163.31250365322202,162.23203647002265,160.18953041066405,161.7298791037799,160.5935386978825,157.6976364997255
185,165.7791341098356,163.83223854295997,163.73628106567605,162.59488828053566,160.6095931537355,162.0852462498017,161.02083997317035,157.99413260138817
186,166.20174754211385,164.24357675290375,164.1579422519757,162.95764800764192,161.02820881097983,162.44053951076597,161.44674819691443,158.2908258943701
187,166.62179054239883,164.65398238074485,164.57747657358368,163.32030170214702,161.4453611370004,162.7957453891702,161.8712464138042,158.58770631613294
188,167.03925786450796,165.06343931834573,164.99487397305933,163.6828356491136,161.86103441168262,163.1508506138626,162.29431818705413,158.88476394860496
189,167.45414487141954,165.47193185927406,165.4101249614337,164.04523636463614,162.27521343066272,163.5058421369101,162.71594758923015,159.18198901632277
190,167.86644751977292,165.87944469221011,165.82322060579816,164.40749059265676,162.68788349593524,163.86070713050694,163.1361191932099,159.47937188459528
191,168.2761623446617,166.28596289444778,166.23415251710315,164.7695853018218,163.09903040659879,164.21543298392228,163.55481806327538,159.7769030576896
192,168.68328644471606,166.69147192548766,166.6429128381649,165.1315076823785,163.50864044973795,164.5700073004873,163.97202974633632,160.07457317703907
193,169.08781746746988,167.0959576207214,167.04949423187642,165.4932451431115,163.91670039143983,164.92441789462086,164.3877402632825,160.37237301947283
