,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
2432,316.66315186927113,342.8968580994391,333.244936651113,349.7249560344652,372.576371695208,339.2153985791874
2433,316.66315186927125,342.8968580996944,333.2449366511446,349.7249560347838,372.5763717058863,339.21539857922886
2434,316.66315186927136,342.8968580999472,333.24493665117586,349.72495603509935,372.5763717164798,339.2153985792699
2435,316.6631518692715,342.8968581001976,333.2449366512068,349.72495603541194,372.57637172698924,339.2153985793105
2436,316.6631518692716,342.8968581004456,333.2449366512374,349.72495603572156,372.5763717374153,339.2153985793506
2437,316.6631518692717,342.8968581006913,333.2449366512677,349.7249560360283,372.5763717477586,339.21539857939035
2438,316.6631518692718,342.89685810093465,333.24493665129773,349.7249560363321,372.57637175801983,339.2153985794297
2439,316.6631518692719,342.89685810117567,333.24493665132746,349.7249560366331,372.57637176819964,339.21539857946857
2440,316.66315186927204,342.8968581014144,333.2449366513568,349.7249560369312,372.57637177829866,339.2153985795071
2441,316.66315186927216,342.8968581016509,333.24493665138584,349.72495603722643,372.57637178831754,339.21539857954525
2442,316.66315186927227,342.8968581018851,333.2449366514146,349.72495603751895,372.57637179825696,339.215398579583
2443,316.6631518692724,342.89685810211705,333.2449366514431,349.7249560378087,372.57637180811747,339.21539857962034
2444,316.6631518692725,342.89685810234687,333.2449366514713,349.7249560380956,372.5763718178997,339.2153985796573
2445,316.66315186927255,342.89685810257447,333.2449366514992,349.7249560383799,372.57637182760436,339.2153985796939
2446,316.6631518692726,342.8968581027999,333.24493665152676,349.72495603866145,372.576371837232,339.2153985797301
2447,316.66315186927267,342.8968581030232,333.24493665155404,349.7249560389404,372.57637184678316,339.215398579766
2448,316.6631518692727,342.89685810324437,333.24493665158104,349.7249560392167,372.5763718562586,339.21539857980144
2449,316.6631518692728,342.8968581034634,333.24493665160776,349.7249560394904,372.57637186565887,339.2153985798366
2450,316.66315186927284,342.89685810368036,333.2449366516342,349.7249560397615,372.5763718749845,339.2153985798713
2451,316.6631518692729,342.8968581038953,333.2449366516604,349.72495604003,372.5763718842361,339.2153985799057
2452,316.66315186927295,342.8968581041081,333.2449366516863,349.72495604029604,372.5763718934143,339.21539857993974
2453,316.663151869273,342.89685810431894,333.24493665171195,349.7249560405595,372.57637190251967,339.2153985799734
2454,316.66315186927307,342.8968581045277,333.2449366517373,349.7249560408205,372.5763719115528,339.2153985800067
2455,316.6631518692731,342.8968581047346,333.24493665176243,349.724956041079,372.57637192051425,339.2153985800397
2456,316.6631518692732,342.8968581049395,333.24493665178727,349.7249560413351,372.5763719294046,339.2153985800723
2457,316.66315186927324,342.8968581051424,333.2449366518119,349.7249560415887,372.5763719382244,339.2153985801046
2458,316.6631518692733,342.8968581053434,333.2449366518362,349.72495604183996,372.5763719469742,339.2153985801366
2459,316.66315186927335,342.8968581055425,333.2449366518603,349.7249560420889,372.57637195565445,339.21539858016826
2460,316.6631518692734,342.8968581057397,333.24493665188413,349.7249560423354,372.57637196426583,339.2153985801996
2461,316.66315186927346,342.89685810593505,333.2449366519077,349.7249560425796,372.5763719728089,339.21539858023056
2462,316.6631518692735,342.8968581061285,333.244936651931,349.72495604282153,372.5763719812841,339.21539858026125
2463,316.6631518692736,342.8968581063201,333.2449366519541,349.7249560430612,372.5763719896921,339.2153985802916
2464,316.66315186927363,342.8968581065099,333.24493665197696,349.7249560432985,372.57637199803344,339.2153985803216
2465,316.6631518692737,342.89685810669795,333.2449366519996,349.7249560435336,372.5763720063086,339.2153985803513
2466,316.66315186927375,342.89685810688417,333.2449366520219,349.7249560437665,372.57637201451803,339.21539858038074
2467,316.6631518692738,342.89685810706857,333.24493665204403,349.72495604399717,372.57637202266227,339.21539858040984
2468,316.66315186927386,342.89685810725126,333.2449366520659,349.7249560442257,372.57637203074194,339.2153985804386
2469,316.6631518692739,342.8968581074322,333.24493665208763,349.72495604445203,372.5763720387575,339.21539858046714
2470,316.663151869274,342.8968581076114,333.2449366521091,349.7249560446763,372.5763720467094,339.21539858049533
2471,316.66315186927403,342.89685810778894,333.2449366521304,349.72495604489836,372.57637205459827,339.2153985805233
2472,316.6631518692741,342.89685810796476,333.2449366521514,349.72495604511835,372.5763720624245,339.2153985805509
2473,316.66315186927415,342.89685810813893,333.2449366521722,349.7249560453363,372.57637207018865,339.2153985805783
2474,316.66315186927415,342.89685810831145,333.2449366521928,349.7249560455521,372.57637207789116,339.2153985806054
2475,316.66315186927415,342.8968581084823,333.24493665221314,349.7249560457659,372.57637208553257,339.2153985806322
2476,316.66315186927415,342.89685810865154,333.2449366522333,349.7249560459777,372.5763720931133,339.2153985806587
2477,316.66315186927415,342.8968581088192,333.2449366522533,349.7249560461875,372.57637210063393,339.21539858068496
2478,316.66315186927415,342.8968581089852,333.244936652273,349.72495604639533,372.57637210809486,339.21539858071094
